pve estimate =0.124636	se(pve) =0.102104
pve estimate =0.215355	se(pve) =0.11753
pve estimate =0.119043	se(pve) =0.0891103
pve estimate =0.00186766	se(pve) =0.016658
pve estimate =0.0388757	se(pve) =0.04236
pve estimate =9.9999e-06	se(pve) =0.0561373
pve estimate =9.9999e-06	se(pve) =0.0359646
pve estimate =9.9999e-06	se(pve) =0.055646
pve estimate =9.9999e-06	se(pve) =0.0596109
pve estimate =9.9999e-06	se(pve) =0.0334783
pve estimate =9.9999e-06	se(pve) =0.0374053
pve estimate =9.9999e-06	se(pve) =0.109883
pve estimate =0.00663251	se(pve) =0.0183074
pve estimate =9.9999e-06	se(pve) =0.0941706
pve estimate =9.9999e-06	se(pve) =0.0821453
pve estimate =9.9999e-06	se(pve) =0.0201776
pve estimate =9.9999e-06	se(pve) =0.0399358
pve estimate =0.0144907	se(pve) =0.0348536
pve estimate =0.0178541	se(pve) =0.0242846
pve estimate =9.9999e-06	se(pve) =0.0430229
pve estimate =9.9999e-06	se(pve) =0.0306732
pve estimate =0.00236766	se(pve) =0.0199485
pve estimate =0.0455858	se(pve) =0.0519161
pve estimate =9.9999e-06	se(pve) =0.0401146
pve estimate =0.0131279	se(pve) =0.0202034
pve estimate =9.9999e-06	se(pve) =0.0707921
pve estimate =9.9999e-06	se(pve) =0.0563493
pve estimate =9.9999e-06	se(pve) =0.0450224
pve estimate =0.0910235	se(pve) =0.112652
pve estimate =0.0129756	se(pve) =0.0626721
pve estimate =9.9999e-06	se(pve) =0.0319758
pve estimate =0.0218347	se(pve) =0.0449739
pve estimate =9.9999e-06	se(pve) =0.0430291
pve estimate =9.9999e-06	se(pve) =0.0336677
pve estimate =9.9999e-06	se(pve) =0.219975
pve estimate =0.0134484	se(pve) =0.0479847
pve estimate =9.9999e-06	se(pve) =0.0226942
pve estimate =9.9999e-06	se(pve) =0.0318261
pve estimate =9.9999e-06	se(pve) =0.0396923
pve estimate =9.9999e-06	se(pve) =0.0282976
pve estimate =0.0315065	se(pve) =0.0687066
pve estimate =9.9999e-06	se(pve) =0.0919538
pve estimate =0.0247818	se(pve) =0.0383913
pve estimate =0.0396405	se(pve) =0.0721512
pve estimate =0.0720885	se(pve) =0.0673284
pve estimate =9.9999e-06	se(pve) =0.0242077
pve estimate =9.9999e-06	se(pve) =0.0486389
pve estimate =9.9999e-06	se(pve) =0.0477936
pve estimate =9.9999e-06	se(pve) =0.0625061
pve estimate =9.9999e-06	se(pve) =0.0338062
pve estimate =9.9999e-06	se(pve) =0.0845936
pve estimate =0.00133997	se(pve) =0.0211604
pve estimate =9.9999e-06	se(pve) =0.0375283
pve estimate =0.00791616	se(pve) =0.0708605
pve estimate =9.9999e-06	se(pve) =0.0497223
pve estimate =9.9999e-06	se(pve) =0.0401142
pve estimate =9.9999e-06	se(pve) =0.0761722
pve estimate =9.9999e-06	se(pve) =0.0269775
pve estimate =9.9999e-06	se(pve) =0.0528599
pve estimate =9.9999e-06	se(pve) =0.185716
pve estimate =0.0154333	se(pve) =0.0266124
pve estimate =9.9999e-06	se(pve) =0.0579087
pve estimate =0.0033884	se(pve) =0.0503432
pve estimate =0.00476579	se(pve) =0.038164
pve estimate =9.9999e-06	se(pve) =0.0727853
pve estimate =9.9999e-06	se(pve) =0.16885
pve estimate =9.9999e-06	se(pve) =0.028259
pve estimate =0.000505699	se(pve) =0.0286553
pve estimate =9.9999e-06	se(pve) =0.0377366
pve estimate =9.9999e-06	se(pve) =0.0336998
pve estimate =9.9999e-06	se(pve) =0.197043
pve estimate =9.9999e-06	se(pve) =0.0937893
pve estimate =9.9999e-06	se(pve) =0.0356102
pve estimate =9.9999e-06	se(pve) =0.120761
pve estimate =0.0716643	se(pve) =0.0796111
pve estimate =0.000500308	se(pve) =0.0149423
pve estimate =9.9999e-06	se(pve) =0.0778362
pve estimate =9.9999e-06	se(pve) =0.0517518
pve estimate =9.9999e-06	se(pve) =0.0188137
pve estimate =9.9999e-06	se(pve) =0.0659393
pve estimate =0.00306171	se(pve) =0.0668651
pve estimate =9.9999e-06	se(pve) =0.0170881
pve estimate =9.9999e-06	se(pve) =0.0407524
pve estimate =9.9999e-06	se(pve) =0.0435291
pve estimate =9.9999e-06	se(pve) =0.111749
pve estimate =9.9999e-06	se(pve) =0.162731
pve estimate =9.9999e-06	se(pve) =0.104874
pve estimate =9.9999e-06	se(pve) =0.0212446
pve estimate =9.9999e-06	se(pve) =0.0350492
pve estimate =9.9999e-06	se(pve) =0.0686431
pve estimate =9.9999e-06	se(pve) =0.0261397
pve estimate =9.9999e-06	se(pve) =0.263234
pve estimate =9.9999e-06	se(pve) =0.187539
