"plant_ID","strain_ID","line","exp","chloro1","height1","leaf1","chloro2","height2","leaf2","nod","nod.weight","shoot","root","rack","pos","type","add","strains","region","pop","plant_origin","lat","long","line_exp","soil","compat"
"499","79","DZA","1",39.1,5.3,6,33,NA,NA,39,1.8,0.41,0.16,"A2","4","treated","MAG","MAG79","SPAIN","8","F20050",38.41155,-1.0165,"DZA_1","8",1
"543","79","DZA","1",44,4.4,5,45.1,NA,NA,38,1.4,0.44,1.41,"B11","10","treated","MAG","MAG79","SPAIN","8","F20050",38.41155,-1.0165,"DZA_1","8",1
"13","80","DZA","1",35.5,3.4,6,42,NA,NA,92,1.2,0.28,0.22,"A1","3","treated","MAG","MAG80","FRANCE","2","ESP174",43.14571667,2.998916667,"DZA_1","2",1
"223","80","DZA","1",39.8,3.9,4,39.3,NA,NA,39,1.2,0.46,0.31,"F1","5","treated","MAG","MAG80","FRANCE","2","ESP174",43.14571667,2.998916667,"DZA_1","2",1
"678","80","DZA","1",NA,4.9,6,43.7,NA,NA,85,1.8,0.22,0.26,"C2","2","treated","MAG","MAG80","FRANCE","2","ESP174",43.14571667,2.998916667,"DZA_1","2",1
"443","82","DZA","1",53.4,4.4,6,42,NA,NA,68,3.5,0.44,0.28,"B3","8","treated","MAG","MAG82","FRANCE","2","ESP174",43.14543333,2.999366667,"DZA_1","2",1
"469","82","DZA","1",45.9,5.6,6,51.5,NA,NA,84,1.5,0.81,1.58,"E12","5","treated","MAG","MAG82","FRANCE","2","ESP174",43.14543333,2.999366667,"DZA_1","2",1
"544","82","DZA","1",45.9,5.4,6,36.4,NA,NA,NA,1.9,0.88,1.78,"C11","6","treated","MAG","MAG82","FRANCE","2","ESP174",43.14543333,2.999366667,"DZA_1","2",1
"114","83","DZA","1",43.2,4.1,5,40.8,NA,NA,81,1.8,0.29,0.23,"A12","1","treated","MAG","MAG83","SPAIN","8","ESP174",38.41155,-1.0165,"DZA_1","8",1
"161","83","DZA","1",41.5,3.9,6,45.3,NA,NA,134,1.6,0.4,0.79,"C12","5","treated","MAG","MAG83","SPAIN","8","ESP174",38.41155,-1.0165,"DZA_1","8",1
"493","83","DZA","1",40.8,3.7,6,40.5,NA,NA,72,1.5,0.2,0.49,"D10","6","treated","MAG","MAG83","SPAIN","8","ESP174",38.41155,-1.0165,"DZA_1","8",1
"478","84","DZA","1",52.2,6.2,7,47.9,NA,NA,55,2.2,0.6,0.33,"A12","6","treated","MAG","MAG84","FRANCE","14","F11005",43.1612,3.059983333,"DZA_1","14",1
"491","84","DZA","1",46.4,5,4,42,NA,NA,65,2.2,0.59,0.46,"E2","5","treated","MAG","MAG84","FRANCE","14","F11005",43.1612,3.059983333,"DZA_1","14",1
"612","84","DZA","1",51.4,4.8,7,45.3,NA,NA,77,3,0.69,0.91,"D5","2","treated","MAG","MAG84","FRANCE","14","F11005",43.1612,3.059983333,"DZA_1","14",1
"247","85","DZA","1",43.9,5.4,5,33.2,NA,NA,54,1.6,0.36,0.5,"B11","7","treated","MAG","MAG85","FRANCE","6","F20089",42.74205,2.814916667,"DZA_1","6",1
"658","85","DZA","1",44,3.9,6,36,NA,NA,71,2.1,0.54,0.36,"E1","1","treated","MAG","MAG85","FRANCE","6","F20089",42.74205,2.814916667,"DZA_1","6",1
"690","85","DZA","1",49.1,4.6,6,33.3,NA,NA,72,2,0.53,0.4,"A3","7","treated","MAG","MAG85","FRANCE","6","F20089",42.74205,2.814916667,"DZA_1","6",1
"151","86","DZA","1",48.3,4.2,7,50.5,NA,NA,25,1.9,0.71,1.76,"D4","7","treated","MAG","MAG86","FRANCE","14","F11005",43.16108333,3.059383333,"DZA_1","14",1
