plant_ID,strain_ID,line,exp,height1,leaf1,chloro1,height2,leaf2,chloro2,nod,nod.weight,shoot,root
1583,144A,DZA,3,7.9,9,53.2,13,25,61.7,32,0.91,0.95,0.5
1584,89,DZA,3,4.3,4,38.4,7.2,10,58.1,33,1.47,0.33,0.2
1585,90A,DZA,3,8.6,15,49.4,13.1,33,54.8,60,1.24,1.15,0.41
1586,276,DZA,3,9,17,52.7,13,31,59.7,33,2.47,1.23,0.31
1587,59,DZA,3,7.6,9,54.4,12.7,23,58.6,27,3.76,0.93,0.47
1588,335,DZA,3,6.2,5,34.7,11,7,50.5,26,1.82,0.24,0.08
1589,21,DZA,3,5.6,5,51.9,11.4,15,53.8,18,2.41,0.54,0.24
1590,42,DZA,3,13.2,12,44.4,19.6,34,58,34,1.92,1.26,0.51
1591,285,DZA,3,4.6,3,26.7,6.5,5,24.2,1,0.02,0.04,0.09
1592,183,DZA,3,4.9,7,NA,12,13,55.1,21,1.84,0.5,0.23
1593,65,DZA,3,8.7,9,43.3,17.5,27,62.3,23,2.33,1.04,0.4
1594,36,DZA,3,7.1,7,53.5,12.4,21,53.1,15,3.26,0.77,0.55
1595,702A,DZA,3,1.8,2,NA,2.7,2,NA,1,0.36,0.61,0.016
1596,27,DZA,3,9,9,38.4,16,25,50.5,43,4.8,0.93,0.29
1597,533,DZA,3,10.1,8,46,13.8,23,61.7,17,3.67,0.82,0.32
1598,89,DZA,3,7.8,11,53.4,13.5,19,58.8,30,2.14,0.68,0.22
1599,46,DZA,3,10.6,12,51,13.5,31,62.2,19,4.59,1.08,0.36
1601,276,DZA,3,9.6,12,45.2,12.8,29,61.1,18,3.21,0.91,0.35
1602,243B,DZA,3,10.5,14,49.1,12.9,39,54.8,14,2.13,1.32,0.32
1603,246,DZA,3,8.1,4,38.8,12.1,16,54,18,3.21,0.65,0.3
1604,control_in,DZA,3,3.1,5,NA,5.4,6,22.5,0,0,0.025,0.08
1605,524,DZA,3,9.8,17,52.6,14,48,47.3,24,4.07,1.34,0.39
1606,319,DZA,3,7.4,6,36.3,11.4,12,53.2,7,1.5,0.44,0.23
1607,508,DZA,3,6.3,3,NA,14.5,9,56.3,13,3.61,0.42,0.19
1608,42,DZA,3,9.1,5,49.9,12.6,19,50.2,65,2.31,0.63,0.31
1609,6B,DZA,3,8.3,6,49.3,12.8,22,55.9,22,1.72,0.78,0.26
1610,215,DZA,3,5.4,7,31.7,11.3,18,52.2,47,2.23,0.66,0.36
1611,control_in,DZA,3,2.9,2,NA,3.4,4,32,0,0,0.027,NA
1612,158A,DZA,3,9.1,9,49.4,13.1,29,59.9,26,3.36,1.12,0.25
1613,87,DZA,3,11.4,11,49.8,15.2,32,56.5,57,2.84,1.2,0.32
1614,57,DZA,3,2.1,2,NA,6.8,6,35.6,18,0.91,0.09,0.07
1615,748A,DZA,3,10.8,10,49.7,16.4,32,52.5,43,2.06,1.14,0.31
1616,145,DZA,3,9.6,8,42.8,13,21,56.2,44,1.9,0.73,0.16
1617,205,DZA,3,8.6,10,47.6,11.6,26,62.2,22,3.54,0.87,0.41
1618,733A,DZA,3,8.5,9,45,12.5,24,57.8,33,3.31,1.03,0.42
1619,35,DZA,3,10.7,11,54.7,13.5,29,58.7,29,1.48,1.29,0.42
1620,176B,DZA,3,10.5,15,46.2,12.6,38,59.2,29,3.11,1.44,0.42
1621,557,DZA,3,2.4,2,NA,2.3,2,NA,0,0,0.008,0.03
1622,89,DZA,3,8.3,11,53.2,14.9,27,61.4,24,1.86,0.92,0.38
1623,746A,DZA,3,7.6,5,32.4,13.4,10,48,57,1.84,0.42,0.17
1624,530,DZA,3,10.1,18,44.2,13.5,36,59.9,37,3.36,1.63,0.45
1625,261,DZA,3,7.9,5,46.8,13.4,15,49.9,30,4.07,0.61,0.3
1626,114,DZA,3,8.1,7,49.7,14.2,13,57,46,2.29,0.79,0.19
1627,154,DZA,3,8.6,9,46.5,15.6,27,54.7,76,1.8,1.05,0.25
1628,control_in,DZA,3,2.4,5,NA,3.2,4,28,0,0,0.02,0.04
1629,220,DZA,3,NA,17,39.3,13.7,39,60.7,63,3.12,1.38,0.3
1630,control_in,DZA,3,2.1,2,NA,2.1,2,NA,0,0,0.004,0.011
1631,78,DZA,3,7.8,8,51.9,13.4,31,59.5,52,3.6,0.93,0.33
1632,174,DZA,3,11.9,9,36.7,17,30,52.7,64,2.93,0.99,0.65
1633,726A,DZA,3,4.5,3,NA,9,6,49.7,19,2.79,0.16,0.09
1634,726B,DZA,3,9.2,5,49.1,13.9,18,56.3,31,4.14,0.64,0.28
1635,82,DZA,3,8.9,13,46.6,13,34,58,35,3.65,0.96,0.38
1636,5,DZA,3,10.8,16,50.9,15,41,56.3,25,4.54,1.47,0.35
1637,406,DZA,3,9.3,6,43.5,13.9,16,56,41,2.93,0.63,0.27
1639,335,DZA,3,2.8,2,NA,6.6,4,44.6,17,0.63,0.05,0.02
1640,733B,DZA,3,2.2,2,20.4,2.3,2,NA,0,0,0.011,0.03
1641,386,DZA,3,10.1,10,48.8,13.1,23,57.4,42,4.72,0.93,0.38
1642,83,DZA,3,4.3,4,18.8,9.5,9,49.9,35,2.29,0.24,0.2
1643,7B,DZA,3,6,3,NA,11.6,6,55.5,24,2.52,0.31,0.13
1644,40,DZA,3,4.1,3,NA,7.6,7,45.6,31,1.09,0.15,0.07
1645,342,DZA,3,2.1,2,NA,3.7,3,37.2,7,1.07,0.05,0.04
1646,221,DZA,3,9.6,9,44,14.4,32,58.9,31,4.79,0.92,0.34
1647,89,DZA,3,9.5,11,46.6,15.3,45,61.9,23,1.87,1.1,0.49
1648,205,DZA,3,5.9,4,34.2,10.6,13,52.9,28,2.29,0.42,0.23
1649,183,DZA,3,8,12,58.7,14,40,62.6,27,4.16,1.54,0.37
1650,259,DZA,3,8,3,41.4,13.2,17,61.7,12,3.38,0.49,NA
1651,541,DZA,3,8.1,8,33.4,13,28,60.5,40,2.88,0.95,0.36
1653,755A,DZA,3,7.9,9,50.9,12.7,27,53.7,16,2.61,0.95,0.4
1654,373,DZA,3,9.5,13,44.9,15,36,58.7,29,2.94,1.27,0.34
1655,144B,DZA,3,9.6,5,52.1,13.6,24,60.8,34,3,0.68,0.34
1656,82,DZA,3,10.9,8,50.1,18,25,57.2,54,1.38,0.83,0.39
1657,243B,DZA,3,12.1,10,53.4,15.9,31,58,41,3.46,1.03,0.34
1658,278,DZA,3,8.4,13,52.4,11.3,39,62.8,25,3.05,1.35,0.39
1659,701B,DZA,3,7.9,12,39.2,13.8,29,62,30,2.97,1.12,0.41
1660,84,DZA,3,8.2,12,46.4,11.6,39,51.7,31,2.94,1.31,0.33
1661,498,DZA,3,10,8,53.4,12.7,29,59,40,3.28,1.15,0.27
1662,176A,DZA,3,7.4,9,48,12.1,31,60.5,35,2.36,1.31,0.29
1663,319,DZA,3,5.8,6,35.5,11.8,24,65.3,9,2.37,0.85,0.21
1665,755B,DZA,3,5.4,7,44.9,12.2,20,57,61,1.41,0.66,0.2
1666,141,DZA,3,8.4,24,56.3,12.6,50,58.2,43,1.04,1.84,0.33
1667,176A,DZA,3,10,21,53.6,13.7,46,61.6,59,2.87,1.88,0.28
1668,21,DZA,3,4.3,4,43.5,6.8,15,59.1,16,3.42,0.48,0.23
1669,17,DZA,3,9.8,14,50,13.8,43,59.2,43,3.13,1.38,0.32
1670,192D,DZA,3,10.5,6,44.3,14.4,26,56,85,2.47,0.85,0.33
1671,194,DZA,3,7.6,10,51.7,10.1,33,62,93,2.67,1.12,0.35
1672,746B,DZA,3,8.9,6,44.4,14.5,19,52.6,75,1.8,0.68,0.37
1673,717A,DZA,3,3.3,3,28.3,5.1,6,26.1,0,0,0.06,0.1
1674,749C,DZA,3,8.4,9,56,11.6,38,58.5,60,3.31,1.22,0.45
1675,238,DZA,3,8.3,6,37.2,10.4,25,52.6,23,4.42,0.74,0.26
1676,277,DZA,3,7.2,9,50.8,12.2,30,51.7,31,3.74,1.13,0.43
1677,557,DZA,3,1.8,2,NA,1.8,2,NA,0,0,0.009,0.01
1678,205,DZA,3,6.1,4,41.5,11.1,23,48.1,24,2.59,0.56,0.28
1679,15,DZA,3,0.2,2,NA,0.5,1,NA,2,0,0.002,0.0008
1680,726A,DZA,3,8.5,9,45.1,12,33,61.9,41,2.35,1.04,0.33
1681,325,DZA,3,8.5,10,49.1,12.7,32,57.6,37,3.34,1.09,0.52
1682,200,DZA,3,8,11,43.9,12.1,31,56.9,29,3.83,1.3,0.4
1683,726A,DZA,3,7.4,12,45.1,10.8,44,55.9,37,2.08,1.15,0.29
1684,762A,DZA,3,7.9,12,54.9,12.5,42,58.7,50,4.07,1.47,0.4
1685,33,DZA,3,9.5,18,59.3,12.4,41,54.5,36,3.34,1.44,0.35
1686,control_in,DZA,3,1.9,2,NA,2.4,2,NA,5,0,0.018,0.03
1687,69,DZA,3,8.1,13,54.1,11.9,26,59.8,29,3.17,1.25,0.39
1690,control_in,DZA,3,5,4,32.2,6.8,5,24.7,0,0,0.07,0.08
1691,78,DZA,3,6.1,13,54,10.8,30,58.1,61,2.31,1.28,0.3
1692,710A,DZA,3,4.9,5,NA,7.3,10,39.7,34,1.19,0.28,0.03
1693,476,DZA,3,4.5,3,NA,8.6,6,51.3,27,1.97,0.21,0.14
1694,372,DZA,3,7.9,11,51.7,11.3,25,56.5,19,2.24,1.18,0.32
1695,757A,DZA,3,6.9,10,54.1,10.3,21,52.7,34,1.53,0.78,0.4
1696,34,DZA,3,6.1,8,48,9.7,19,52.9,46,2.06,0.7,0.96
1697,158A,DZA,3,4.8,6,39.9,9,16,60.8,25,2.33,0.57,0.38
1698,286,DZA,3,7.9,17,44.8,12.5,42,60.6,44,5.04,1.49,0.5
1699,48,DZA,3,10.5,9,53.8,13.9,29,63,16,1.5,1.13,0.39
1700,216,DZA,3,8.7,18,60.7,12.8,54,64.3,46,2.49,1.59,0.34
1701,205,DZA,3,6.7,9,55.4,12.4,25,57.6,23,5.34,1.04,0.36
1702,control_in,DZA,3,4.5,2,23.8,4.8,4,26.4,0,0,0.021,0.018
1703,control_in,DZA,3,2.6,2,NA,1.4,1,NA,0,0,0.006,0.011
1704,261,DZA,3,10.1,11,48.5,14.5,40,60,35,3.37,1.23,0.22
1705,421,DZA,3,4.9,4,39.7,8.3,11,44.9,13,1.15,0.26,0.16
